"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2021,39.9,247.5
"AK",2021,33.5,154.7
"AZ",2021,31.3,158.3
"AR",2021,38.7,231
"CA",2021,27.6,147.8
"CO",2021,25.1,135.1
"CT",2021,30.4,136.7
"DE",2021,33.9,162.7
NA,2021,24.7,NA
"FL",2021,30,151.3
"GA",2021,33.9,195.2
"HI",2021,25,126.5
"ID",2021,31.6,166.4
"IL",2021,34.2,169.8
"IA",2021,36.4,184.9
"KS",2021,36,176.1
"KY",2021,40.3,217.5
"LA",2021,38.6,235.5
"ME",2021,31.9,168.4
"MD",2021,34.3,165.2
"MA",2021,27.4,134
"MI",2021,34.4,209.6
"MN",2021,32.4,123.9
"MS",2021,39.1,255.2
"MO",2021,37.3,202.4
"MT",2021,31.8,175.2
"NE",2021,35.9,160.8
"NV",2021,31.3,208.1
"NH",2021,30.6,154.1
"NJ",2021,28.2,157.5
"NM",2021,34.6,156.5
"NY",2021,29.1,162.3
"NC",2021,36,170.9
"ND",2021,35.2,152.8
"OH",2021,37.7,204.7
"OK",2021,39.4,264.2
"OR",2021,30.4,148.5
"PA",2021,33.3,180.6
"RI",2021,30.1,158.7
"SC",2021,36.1,189.1
"SD",2021,38.4,153
"TN",2021,35,223.8
"TX",2021,36.1,180.7
"UT",2021,30.9,162.4
"VT",2021,29,175.7
"VA",2021,34.2,167.2
"WA",2021,28.8,147.7
"WV",2021,40.6,223
"WI",2021,33.9,171.7
"WY",2021,32,159.4
