year,state,rate,state_abbr,data_value
2023,AL,45.8,NA,NA
2023,AK,34.9,NA,NA
2023,AZ,33.4,NA,NA
2023,AR,57.4,NA,NA
2023,CA,25.7,NA,NA
2023,CO,36.3,NA,NA
2023,CT,24.1,NA,NA
2023,DE,28.8,NA,NA
2023,District of Columbia,17.4,NA,NA
2023,FL,30.4,NA,NA
2023,GA,37.9,NA,NA
2023,HI,16,NA,NA
2023,ID,37,NA,NA
2023,IL,30.1,NA,NA
2023,IN,51,NA,NA
2023,IA,38.7,NA,NA
2023,KS,41.6,NA,NA
2023,KY,57.4,NA,NA
2023,LA,38.4,NA,NA
2023,ME,40.7,NA,NA
2023,MD,24.2,NA,NA
2023,MA,26,NA,NA
2023,MI,37.1,NA,NA
2023,MN,28.2,NA,NA
2023,MS,55.5,NA,NA
2023,MO,44.3,NA,NA
2023,MT,41.2,NA,NA
2023,NE,41.9,NA,NA
2023,NV,38.3,NA,NA
2023,NH,35.7,NA,NA
2023,NJ,20.8,NA,NA
2023,NM,36.3,NA,NA
2023,NY,22.5,NA,NA
2023,NC,37.9,NA,NA
2023,ND,28.4,NA,NA
2023,OH,39.8,NA,NA
2023,OK,60.7,NA,NA
2023,OR,34.2,NA,NA
2023,PA,31,NA,NA
2023,RI,27.4,NA,NA
2023,SC,37.6,NA,NA
2023,SD,35.8,NA,NA
2023,TN,48.1,NA,NA
2023,TX,32.8,NA,NA
2023,UT,29.4,NA,NA
2023,VT,32.1,NA,NA
2023,VA,31.3,NA,NA
2023,WA,28.4,NA,NA
2023,WV,55.3,NA,NA
2023,WI,31,NA,NA
2023,WY,47.6,NA,NA
2022,AL,46.9,NA,NA
2022,AK,30.2,NA,NA
2022,AZ,35.1,NA,NA
2022,AR,59.7,NA,NA
2022,CA,25.8,NA,NA
2022,CO,38,NA,NA
2022,CT,24.3,NA,NA
2022,DE,32,NA,NA
2022,District of Columbia,17.3,NA,NA
2022,FL,30.6,NA,NA
2022,GA,39.6,NA,NA
2022,HI,15.6,NA,NA
2022,ID,41.6,NA,NA
2022,IL,32.2,NA,NA
2022,IN,53,NA,NA
2022,IA,39,NA,NA
2022,KS,44.4,NA,NA
2022,KY,55.8,NA,NA
2022,LA,38.8,NA,NA
2022,ME,40,NA,NA
2022,MD,24.5,NA,NA
2022,MA,25,NA,NA
2022,MI,38.5,NA,NA
2022,MN,29.1,NA,NA
2022,MS,59.5,NA,NA
2022,MO,45.9,NA,NA
2022,MT,39.6,NA,NA
2022,NE,37.4,NA,NA
2022,NV,42.8,NA,NA
2022,NH,36.3,NA,NA
2022,NJ,21.8,NA,NA
2022,NM,38.6,NA,NA
2022,NY,22.6,NA,NA
2022,NC,38.7,NA,NA
2022,ND,30.7,NA,NA
2022,OH,42.6,NA,NA
2022,OK,62.3,NA,NA
2022,OR,34.4,NA,NA
2022,PA,30.8,NA,NA
2022,RI,27.4,NA,NA
2022,SC,39.7,NA,NA
2022,SD,35.3,NA,NA
2022,TN,47,NA,NA
2022,TX,34,NA,NA
2022,UT,30.3,NA,NA
2022,VT,29.6,NA,NA
2022,VA,29.6,NA,NA
2022,WA,30.7,NA,NA
2022,WV,61.9,NA,NA
2022,WI,33.7,NA,NA
2022,WY,45.4,NA,NA
2021,AL,50.9,NA,NA
2021,AK,35,NA,NA
2021,AZ,36.7,NA,NA
2021,AR,61.5,NA,NA
2021,CA,26.1,NA,NA
2021,CO,37.5,NA,NA
2021,CT,23.8,NA,NA
