YEAR,STATE,RATE,DEATHS,URL
2023,AL,227.3,14587,/nchs/pressroom/states/alabama/al.htm
2023,AK,133,918,/nchs/pressroom/states/alaska/ak.htm
2023,AZ,145.3,14641,/nchs/pressroom/states/arizona/az.htm
2023,AR,218.8,8443,/nchs/pressroom/states/arkansas/ar.htm
2023,CA,138.1,64173,/nchs/pressroom/states/california/ca.htm
2023,CO,126.6,8109,/nchs/pressroom/states/colorado/co.htm
2023,CT,129.7,6601,/nchs/pressroom/states/connecticut/ct.htm
2023,DE,158.7,2244,/nchs/pressroom/states/delaware/de.htm
2023,District of Columbia,153.6,1051,/nchs/pressroom/states/DC/DC1.htm
2023,FL,138.4,49495,/nchs/pressroom/states/florida/fl.htm
2023,GA,178.4,21273,/nchs/pressroom/states/georgia/ga.htm
2023,HI,124.1,2763,/nchs/pressroom/states/hawaii/hi.htm
2023,ID,146,3292,/nchs/pressroom/states/idaho/id.htm
2023,IL,160.8,25634,/nchs/pressroom/states/illinois/il.htm
2023,IN,183.1,15161,/nchs/pressroom/states/indiana/in.htm
2023,IA,176.3,7644,/nchs/pressroom/states/iowa/ia.htm
2023,KS,168.9,6199,/nchs/pressroom/states/kansas/ks.htm
2023,KY,197.1,10988,/nchs/pressroom/states/kentucky/ky.htm
2023,LA,217.7,11895,/nchs/pressroom/states/louisiana/la.htm
2023,ME,161.6,3475,/nchs/pressroom/states/maine/me.htm
2023,MD,149.7,11529,/nchs/pressroom/states/maryland/md.htm
2023,MA,129,11959,/nchs/pressroom/states/massachusetts/ma.htm
2023,MI,199.5,26205,/nchs/pressroom/states/michigan/mi.htm
2023,MN,120.3,8843,/nchs/pressroom/states/minnesota/mn.htm
2023,MS,235.6,8441,/nchs/pressroom/states/mississippi/ms.htm
2023,MO,188.6,15137,/nchs/pressroom/states/missouri/mo.htm
2023,MT,162.2,2492,/nchs/pressroom/states/montana/mt.htm
2023,NE,158.8,3853,/nchs/pressroom/states/nebraska/ne.htm
2023,NV,183.9,6989,/nchs/pressroom/states/nevada/nv.htm
2023,NH,150.3,2988,/nchs/pressroom/states/newhampshire/nh.htm
2023,NJ,146.2,17748,/nchs/pressroom/states/newjersey/nj.htm
2023,NM,163,4616,/nchs/pressroom/states/newmexico/nm.htm
2023,NY,152.8,41172,/nchs/pressroom/states/newyork/ny.htm
2023,NC,161.2,21192,/nchs/pressroom/states/northcarolina/nc.htm
2023,ND,159,1576,/nchs/pressroom/states/northdakota/nd.htm
2023,OH,183.7,28193,/nchs/pressroom/states/ohio/oh.htm
2023,OK,250.7,11913,/nchs/pressroom/states/oklahoma/ok.htm
2023,OR,142.3,7832,/nchs/pressroom/states/oregon/or.htm
2023,PA,166.6,30946,/nchs/pressroom/states/pennsylvania/pa.htm
2023,RI,151.8,2346,/nchs/pressroom/states/rhodeisland/ri.htm
2023,SC,178.5,12277,/nchs/pressroom/states/southcarolina/sc.htm
2023,SD,152.8,1796,/nchs/pressroom/states/southdakota/sd.htm
2023,TN,210.2,17955,/nchs/pressroom/states/tennessee/tn.htm
2023,TX,167.7,50111,/nchs/pressroom/states/texas/tx.htm
2023,UT,162.4,4509,/nchs/pressroom/states/utah/ut.htm
2023,VT,153,1436,/nchs/pressroom/states/vermont/vt.htm
2023,VA,155.9,16487,/nchs/pressroom/states/virginia/va.htm
2023,WA,136.5,12485,/nchs/pressroom/states/washington/wa.htm
2023,WV,204.8,5244,/nchs/pressroom/states/westvirginia/wv.htm
2023,WI,167.3,12999,/nchs/pressroom/states/wisconsin/wi.htm
2023,WY,151.7,1126,/nchs/pressroom/states/wyoming/wy.htm
2022,AL,234.2,14958,/nchs/pressroom/states/alabama/al.htm
2022,AK,145.7,1013,/nchs/pressroom/states/alaska/ak.htm
